energy,tempo,danceability,loudness,liveness,valence,track_artist,time_signature,speechiness,track_popularity,uri,track_id,track_name,instrumentalness,mode,key,duration_ms,acousticness,type,genre
0.587,186.003,0.679,-7.015,0.137,0.486,"The Weeknd, Daft Punk",4,0.276,87,spotify:track:7MXVkk9YMctZqd1Srtv4MB,7MXVkk9YMctZqd1Srtv4MB,Starboy,6.35e-06,1,7,230453,0.141,music,"pop,throwback"
0.715,155.925,0.315,-8.072,0.0942,0.497,The Goo Goo Dolls,3,0.0362,87,spotify:track:6Qyc6fS4DsZjB2mRW9DsQs,6Qyc6fS4DsZjB2mRW9DsQs,Iris,7.97e-06,0,11,289533,0.00125,music,"rock,alternative"
0.5,117.896,0.664,-6.935,0.0966,0.801,Noah Kahan,4,0.0651,87,spotify:track:0mflMxspEfB0VbI1kyLiAv,0mflMxspEfB0VbI1kyLiAv,Stick Season,0.0,1,9,182347,0.799,music,"pop,soft"
0.28,72.795,0.612,-8.648,0.088,0.387,Bruno Mars,4,0.0434,87,spotify:track:0nJW01T7XtvILxQgC5J7Wh,0nJW01T7XtvILxQgC5J7Wh,When I Was Your Man,0.0,1,0,213827,0.932,music,"pop,soft"
0.545,159.94,0.545,-7.362,0.417,0.549,Frank Ocean,3,0.107,87,spotify:track:3xKsf9qdS1CyvXSMEid6g8,3xKsf9qdS1CyvXSMEid6g8,Pink + White,5.48e-05,1,9,184516,0.667,music,"r&b,modern"
0.583,181.489,0.432,-4.682,0.0933,0.544,Benson Boone,4,0.0687,87,spotify:track:51eSHglvG1RJXtL3qI5trr,51eSHglvG1RJXtL3qI5trr,Slow It Down,0.0,1,8,161831,0.174,music,"gaming,modern"
0.725,130.504,0.633,-4.257,0.205,0.64,Sabrina Carpenter,4,0.0427,87,spotify:track:21B4gaTWnTkuSh77iWEXdS,21B4gaTWnTkuSh77iWEXdS,Juno,0.0,1,5,223192,0.0461,music,"pop,global"
0.878,82.557,0.661,-4.099,0.381,0.514,"Tyler, The Creator",4,0.31,87,spotify:track:5RePVWy39tLpHH0WwXgBsK,5RePVWy39tLpHH0WwXgBsK,Rah Tah Tah,0.0,1,1,165413,0.00289,music,"hip-hop,modern"
0.652,95.977,0.825,-3.183,0.0931,0.931,Ed Sheeran,4,0.0802,86,spotify:track:7qiZfU4dY1lWllzX7mPBI3,7qiZfU4dY1lWllzX7mPBI3,Shape of You,0.0,0,1,233713,0.581,music,"pop,throwback"
0.669,112.238,0.908,-2.827,0.237,0.662,Eminem,4,0.0738,86,spotify:track:7lQ8MOhq6IN2w8EYcFNSUk,7lQ8MOhq6IN2w8EYcFNSUk,Without Me,0.0,1,7,290320,0.00286,music,"pop,throwback"
