series_title,genres,author,sales_point,description,publisher,pub_date,cover_url,link,original_title,mood_kor,mood_eng
상점가의 전진,스릴러/범죄,Panpanya (지은이),3303,"표제작을 포함해 '윤번지', '빌딩', '즐거운 부동산', '올바른 주먹밥 개봉 방법', '누누막막', '슈퍼 하우스' 등 16편을 수록했다. 일기와 해제도 함께 수록했다.",미우(대원씨아이),2025-06-30,https://image.aladin.co.kr/product/36679/38/coversum/k862030483_1.jpg,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=366793829,총 1권 포함 (대표작: 상점가의 전진),빈티지하고 고전적인 화풍,vintage and retro style
만화 데뷔 못 하면 죽는 병 걸림,"판타지, 음악/스포츠","소흔 (지은이), 백덕수 (원작), 장진 (각색)",3260,"어느 날, 눈 떠보니 낯선 천장이었다. 그럼 적어도 다른 세상으로 워프하는 게 국룰일 텐데, 대체 여긴 어디야? 4년 차 공시생, 류건우. 낯선 몸에 빙의해 3년 전으로 돌아왔지만 그를 맞이하는 건 돌연사를 위협하는 상태창뿐. 데뷔가 아니면 죽을 처지에 놓인다.",파인툰,2025-04-18,https://image.aladin.co.kr/product/35632/58/coversum/k562036490_1.jpg,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=356325819,총 3권 포함 (대표작: 만화 데뷔 못 하면 죽는 병 걸림 2),밝고 화사한 로맨스,bright and pastel romance
픽미업,드라마/성장,"헤르모드 (지은이), 와삭바삭 (그림), 조우네 (각색)",3210,"암케나의 ‘나잘해병’을 바로 잡기 위해, 마스터가 전적으로 의존하던 영웅 한이 출전을 거부한다고 선언한다. 결국 핵심 전력인 1파티와 2파티마저 파업에 돌입하고, 균열은 점점 깊어져만 간다. 이에 암케나는 과금을 통해 새로운 영웅 파티를 욱성하며 노골적인 편애를 시작한다.",에이템포미디어,2026-05-20,https://image.aladin.co.kr/product/39353/17/coversum/k502138536_1.jpg,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=393531732,총 4권 포함 (대표작: 픽미업 4),화려하고 우아한 판타지,elegant and ornate fantasy
물가의 밤,드라마/성장,으자 (지은이),3182,"어린 동생을 안고 바다로 뛰어든 김의현. 실낱같은 희망도 보이지 않는 삶, 그는 모든 걸 포기하려 한다. 그런 그를 붙잡은 알파 여태주. 빚만 남은 의현에게 태주는 돈, 집, 일자리를 주겠다며 몸을 요구하는데….",봄툰,2025-04-24,https://image.aladin.co.kr/product/33779/82/coversum/k342930372_1.jpg,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=337798227,총 2권 포함 (대표작: 물가의 밤 1),어둡고 거친 스릴러,dark and gritty thriller
숲속의 담,"공포/호러, 드라마/성장",다홍 (지은이),3120,"특별할 것 없던 14살 소년 담. 하지만 손에 닿는 생명을 빠르게 성장시키는 재능을 알게 된 이후로 담의 성장이 멈춰버렸다. 담은 아무도 없는 숲속으로 들어가고 사람들로부터 ‘숲의 귀신’이라 불리게 되었다. 어느 날, ‘숲의 귀신’으로 살아가던 담을 귀찮게 할 무언가가 나타나는데….",에이템포미디어,2023-09-13,https://image.aladin.co.kr/product/28312/58/coversum/k622835707_1.jpg,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=283125891,총 6권 포함 (대표작: 숲속의 담 1),화려하고 우아한 판타지,elegant and ornate fantasy
나의 마녀,드라마/성장,"해윤 (지은이), MAS (그림)",3120,"린다, 마하렛, 비올레타 세 마녀의 헌신적인 사랑이 그려진다. 다정하고 마음 여린 마녀 린다는 언제나 모든 걸 바치는 사랑을 하지만 돌아오는 건 남자들의 배신뿐이다. 그런 린다의 곁에는 늘 위로하고 응원해주는 단짝 마하렛이 있다. 하지만 마하렛에겐 린다가 모르는 비밀이 하나 있는데….",문학동네,2022-01-28,https://image.aladin.co.kr/product/26549/6/coversum/8954677185_1.jpg,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=265490677,총 4권 포함 (대표작: 나의 마녀 3 - 유리그릇),화려하고 우아한 판타지,elegant and ornate fantasy
정년이,드라마/성장,"서이레 (지은이), 나몬 (그림)",3055,&lt;미생&gt; &lt;며느라기&gt; &lt;연의 편지&gt;를 잇는 2019 오늘의 우리 만화상 수상작. 여성국극의 전성기였던 1950년대 서울을 배경으로 그들의 치열하고 눈부셨던 예술과 성장에 관한 이야기를 그린다.,문학동네,2020-04-27,https://image.aladin.co.kr/product/23814/81/coversum/895467142x_1.jpg,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=238148142,총 1권 포함 (대표작: 정년이 1),역동적인 액션,dynamic and colorful action
발화,코미디/힐링,영재영 (지은이),3038,"조형예술학과에 입학한 스무 살, 정인혜. 밝고 구김살 없는 룸메이트 수진과 캠퍼스 라이프를 시작한다. 그러나 수진을 비롯한 여러 친구들과 어울려 지낼수록 가족과 얽힌 과거의 상처가 선명해진다. 특히나 집안이 화목한 수진의 입을 통해 그려지는 단란한 가족의 풍경은 인혜에게는 불가해한 영역이다.",레진코믹스(레진엔터테인먼트),2025-12-10,https://image.aladin.co.kr/product/37918/93/coversum/k452033933_1.jpg,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=379189364,총 1권 포함 (대표작: 발화 1),깔끔하고 현대적인 일상,minimalist and modern daily life
별이삼샵,로맨스,혀노 (지은이),3020,"설민수의 입대 이후, 수원과 효림은 공개적으로 데이트를 즐기며 행복한 시간을 보낸다. 하지만 두 사람의 연애 소식이 알려지자 주변의 관심이 과하게 쏠리기 시작하고, 그동안 설민수를 두려워해 조용히 지내던 몇몇 사람들은 서서히 선을 넘는 행동을 보이는데...",영컴(YOUNG COM),2026-02-26,https://image.aladin.co.kr/product/38194/92/coversum/k572034710_1.jpg,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=381949233,총 15권 포함 (대표작: 별이삼샵 13),어둡고 거친 스릴러,dark and gritty thriller
내가 죽기로 결심한 것은,드라마/성장,YUJU (지은이),2998,"불법 약물 조제 공장을 찾은 지오와 차결. 이번에야 말로 무한한 생을 끊을 마지막 기회일까, 아니면 또 다른 위기일까? 박우진의 공격을 피해 무사히 공장을 빠져나갈 타이밍을 엿보던  그 순간, 뒤늦게 쫓아온 문기성이 바닥에 떨어진 총을 쥐고 마는데….",네이버웹툰,2023-12-25,https://image.aladin.co.kr/product/32889/67/coversum/k332936421_1.jpg,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=328896749,총 7권 포함 (대표작: 내가 죽기로 결심한 것은 7 - 완결),밝고 화사한 로맨스,bright and pastel romance
