series_title,genres,author,sales_point,description,publisher,pub_date,cover_url,link,original_title,mood_kor,mood_eng
어피 단편집,드라마/성장,어피 (지은이),904,"어피 작가의 단편 3종을 묶은 『어피 단편집』이 출간되었다. 『어피 단편집』은 섬세한 작화, 뛰어난 연출, 가슴을 울리는 대사 등으로 탄탄한 마니아층을 지닌 어피 작가의 『향하는 길의 마지막 걸음』, 『플리즈 러브 미』, 『유일적 시선』을 한데 모은 작품집이다.",북극여우,2024-10-04,https://image.aladin.co.kr/product/34280/31/coversum/k062932263_1.jpg,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=342803100,총 1권 포함 (대표작: 어피 단편집 (한정판) - 어피 작가 선화 및 사인 인쇄 + 디오라마 아크릴 스탠드 + 포토카드 2종 + 홀로그램 코롯토 2종 + 렌티큘러 포토카드 3종 + 투명 책갈피 4종 + 박스 케이스),깔끔하고 현대적인 일상,minimalist and modern daily life
엔네아드,드라마/성장,모히또 (지은이),903,독자를 이집트 신화 덕질로 이끈 마성의 BL 웹툰. 평화롭던 이집트는 전쟁의 신 ‘세트’로 인해 피로 물들고 결국 오시리스의 아들 ‘호루스’가 그에게 반기를 든다. 엔네아드 신들이 지켜보는 가운데 이집트의 왕권을 걸고 세트와 호루스의 운명적 대결이 시작된다.,서울미디어코믹스(서울문화사),2020-12-23,https://image.aladin.co.kr/product/25240/52/coversum/k872633006_1.jpg,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=252405253,총 4권 포함 (대표작: 엔네아드 1),빈티지하고 고전적인 화풍,vintage and retro style
세레나,드라마/성장,정이나 (지은이),870,"《발레리나》그림의 감정 결과 발표일, 세레나는 왕국 신문사들을 모두 불러 더로랑 갤러리에서 감정을 진행한다. 놀랍게도 더로랑 소유와 세레니티 소유의 《발레리나》가 모두 진품으로 판정되며 현장이 술렁이고, 갤러리의 체면을 생각한 다이아는 납득할 수 없다며 항의한다.",네이버웹툰,2025-09-22,https://image.aladin.co.kr/product/36990/58/coversum/k412030127_1.jpg,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=369905852,총 2권 포함 (대표작: 세레나 6),화려하고 우아한 판타지,elegant and ornate fantasy
미생,드라마/성장,윤태호 (지은이),861,"윤태호 작가는 2009년《미생》연재 계약을 맺고, 2012년 웹툰 연재를 시작했다. 그 12년간의 여정이 마침내 끝났다. 장그래가 처음 인턴으로 입사할 즈음, 사회생활을 시작한 독자들도 어느덧 10년 차 이상의 중견 직장인이 되었다.",더오리진,2024-03-20,https://image.aladin.co.kr/product/33648/79/coversum/k042939413_1.jpg,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=336487948,총 5권 포함 (대표작: 미생 시즌2 : 15~21 세트 - 전7권 - 완결),화려하고 우아한 판타지,elegant and ornate fantasy
뽀짜툰 메모리즈,코미디/힐링,채유리 (지은이),858,"수많은 애묘인 독자들의 마음을 두드린 세상 특별한 고양이 만화 《뽀짜툰》의 단행본 출간 10주년 기념 스페셜 에디션, 《뽀짜툰 메모리즈》가 북폴리오에서 출간됐다. 《뽀짜툰 메모리즈》는 20년이 넘는 이 고양이 가족의 동고동락 연대기를 앨범 형식으로 압축한 특별판이다.",북폴리오,2024-03-22,https://image.aladin.co.kr/product/33648/77/coversum/k862939412_1.jpg,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=336487777,"총 1권 포함 (대표작: 뽀짜툰 메모리즈 - 뽀짜툰 연대기, 8장의 빅 스티커북, 표지 일러스트 3장, 작가 사인과 후기(인쇄))",밝고 화사한 로맨스,bright and pastel romance
"새벽, 구름, 강",판타지,마증지 (지은이),850,"전생 시절 태혁의 형인 유현은 효운과 태혁을 찾아내어 끝내 떨어뜨리는 데 성공한다. 효운이 사경을 헤매는 사이 그는 옥체를 찌르는 경악스러운 짓을 저지르면서까지 태혁을 궁에 가두려 하지만, 결국 강의 도움을 받아 용으로 변신한 효운에 의해 실패한다.",봄툰,2026-02-26,https://image.aladin.co.kr/product/38731/60/coversum/k562136940_1.jpg,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=387316091,"총 1권 포함 (대표작: 새벽, 구름, 강 5)",역동적인 액션,dynamic and colorful action
악녀라서 편하고 좋은데요?,"판타지, 음악/스포츠","요테 (지은이), 망고킴 (원작), 민도향 (각색)",843,"모두가 ‘미야 비노슈’가 올해의 꽃으로 선정될 것이라 예상했지만, 무대의 중심에 선 인물은 뜻밖에도 남주인공 ‘이시도르 비스콘티’다. 그는 데보라에게 봄꽃 축제 파트너를 제안하고, 파트너가 없던 데보라는 “귀하신 분이 뭐하러 나랑…?” 하는 의아함 속에서도 원하는 드레스 코드를 맞춰줄 것을 조건으로 이를 받아들인다.",북극여우,2025-11-05,https://image.aladin.co.kr/product/37120/33/coversum/k382030457_1.jpg,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=371203341,"총 3권 포함 (대표작: 악녀라서 편하고 좋은데요? 3 (한정판) - 만화, 초판한정 캐릭터 카드 + 포토카드 3종 + 일반 엽서 2종 + 렌티큘러 엽서 + 박스)",화려하고 우아한 판타지,elegant and ornate fantasy
소꿉친구 컴플렉스,"드라마/성장, 스릴러/범죄",은하이 (지은이),842,"태어날 때부터 대학교까지 함께하고 있는 징글징글한 ‘소꿉친구’인 하늘과 민철. 만나면 싸우기 바빠도 취미가 비슷해 자주 붙어 다녀 그런지 사귀는 게 아니냐는 오해를 받기도 했지만, 두 사람은 서로를 이성으로 보지 않았다. 그런 일은 없다고 호언장담까지 했건만, 일련의 사건으로 둘 사이에 묘한 기류가 돌기 시작한다! “김민철이랑은 괜찮지 않을까..?” 하늘과 민철의 20년 우정은 어디로 향하게 될까?",네이버웹툰,2025-12-15,https://image.aladin.co.kr/product/37495/4/coversum/k572032611_1.jpg,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=374950403,총 3권 포함 (대표작: 소꿉친구 컴플렉스 1),밝고 화사한 로맨스,bright and pastel romance
개를 낳았다,드라마/성장,이선 (지은이),820,"2년 전 보호소에 들어와 혈만을 만나고, 넓은 집으로 입양 갔던 보더콜리. 좋은 곳으로 잘 보냈다는 생각도 잠시, 새로운 보호자에게 높은 강도의 체벌을 받으며 자란 콜리는 다시 보호소로 돌아오게 된다.",서울미디어코믹스(서울문화사),2026-04-28,https://image.aladin.co.kr/product/39165/51/coversum/k832138060_1.jpg,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=391655168,총 13권 포함 (대표작: 개를 낳았다 시즌 2 : 12 - 이별부터 만남까지),밝고 화사한 로맨스,bright and pastel romance
오무라이스 잼잼 The Best,코미디/힐링,조경규 (지은이),816,"기존 책의 에피소드 중 어린이들이 특히 흥미를 가질 만한 이야기 10편을 주제별로 선별해 재구성했다. 각 권은 ‘음식의 기원’, ‘다양한 문화’, ‘음식 이름의 의미’ 등, 주제를 중심으로 구성되며, 각 에피소드에는 어린이 독자의 이해를 돕는 재미있는 정보 페이지도 함께 수록되어 있다.",송송책방,2025-09-09,https://image.aladin.co.kr/product/36933/23/coversum/k792030315_1.jpg,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=369332397,총 2권 포함 (대표작: 오무라이스 잼잼 The Best 1),역동적인 액션,dynamic and colorful action
나를 사랑하지 않아도,드라마/성장,판도 (지은이),794,국내 대기업과 정재계 자제들이 다닌다는 대한 고등학교에 성적 우수생으로 입학한 지욱. 지욱이 가난에서 벗어날 수 있는 빠른 길은 대한 고등학교를 졸업해 한국대에 진학하는 것뿐이다. 하지만 이런 지욱의 다짐은 그의 삶에 느닷없이 나타난 승언으로 인해 송두리째 흔들린다.,영컴(YOUNG COM),2024-09-27,https://image.aladin.co.kr/product/29680/48/coversum/k042838286_1.jpg,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=296804875,총 8권 포함 (대표작: 나를 사랑하지 않아도 1),화려하고 우아한 판타지,elegant and ornate fantasy
폭군을 길들이고 도망쳐버렸다,"판타지, 스릴러/범죄","멜팅, 루꼴라 (지은이), 유소이 (원작)",785,"제국을 수호할 ‘살아 있는 검’으로 존재했던 샤를리즈 로넌. 길고 긴, 지옥 같은 시간을 견디며 신에게 복수를 빌었고 400년이란 시간을 뛰어넘는 기적이 찾아왔다. ‘그 누구도 자긍심을 느끼지 못하도록 철저하고 완벽하게 제국을 멸망시키겠어!’ 샤를은 복수를 위해 회귀 전 제국의 진정한 지배자였던 희대의 천재 13황자를 길들이기 시작하는데…….",파인툰,2026-04-24,https://image.aladin.co.kr/product/38723/10/coversum/k692136744_1.jpg,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=387231005,총 1권 포함 (대표작: 폭군을 길들이고 도망쳐버렸다 8),밝고 화사한 로맨스,bright and pastel romance
백작가의 불청객들,드라마/성장,아르누니 (지은이),782,"자신을 정부로, 펠릭스를 사생아로 인정해달라는 로라에게 선을 넘지 말라고 경고하는 베네딕트. 그런 베네딕트에게 로라는 ‘너도 그녀도 서로 사랑하지 않는 사이지 않느냐’라고 지적하고, 베네딕트는 라니아를 향한 자신의 태도가 최근 들어 달라지고 있음을 점차 깨닫는다.",길찾기,2025-08-29,https://image.aladin.co.kr/product/36224/67/coversum/k392038604_1.jpg,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=362246788,총 2권 포함 (대표작: 백작가의 불청객들 3),화려하고 우아한 판타지,elegant and ornate fantasy
내일,드라마/성장,라마 (지은이),777,죽은 자를 살리려는 위기관리팀과 죽은 자를 인도하는 인도관리팀. 만나기만 하면 으르렁대는 이 두 팀이 합동 작전을 펼친다. 영문을 모르는 최준웅은 구련 팀장과 임륭구 대리의 심부름을 갔다가 우연히 사람들의 멸시를 받으며 폐지를 줍는 이영천 할아버지를 만난다.,알에이치코리아(RHK),2025-12-19,https://image.aladin.co.kr/product/22693/24/coversum/8925566303_2.jpg,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=226932429,총 5권 포함 (대표작: 내일 5),어둡고 거친 스릴러,dark and gritty thriller
약한 영웅,드라마/성장,"서패스 (지은이), 김진석 (그림)",760,"은장 대 연합 한강 결전은 계속되고, 박후민이 없는 상황 속에서도 은장 아이들은 끝까지 버텨낸다. 마침내, 연시은과 함께 박후민이 돌아오고 박후민 대 나백진 숨막히는 대결이 시작되는데...",재담,2025-06-12,https://image.aladin.co.kr/product/36599/1/coversum/k282030767_1.jpg,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=365990107,총 5권 포함 (대표작: 약한 영웅 18),역동적인 액션,dynamic and colorful action
"언니, 이번 생엔 내가 왕비야","로맨스, 무협/사극","레팔진프 (지은이), 테미스 (그림), Omin (각색)",750,"아무도 정체를 알 수 없는 가면무도회. 그 탓에 아리아드네는 오히려 누명을 쓰게 된다. 궁지에 몰린 아리아드네를 도와준 알폰소와 그녀를 위해 오명을 뒤집어쓴 체자레. 느껴지는 진심, 따스한 설렘….",문페이스,2026-06-11,https://image.aladin.co.kr/product/39354/45/coversum/k472138638_1.jpg,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=393544576,"총 1권 포함 (대표작: 언니, 이번 생엔 내가 왕비야 4 - 초판 한정 표지 일러스트 엽서 + 예판 한정 타로카드)",화려하고 우아한 판타지,elegant and ornate fantasy
도굴왕,드라마/성장,"3B2S (지은이), 산지직송 (원작), 윤쓰 (각색)",750,"모든 비보를 손에 넣은 서주헌. 기억을 되찾은 단의 도움으로 왕의 무덤을 무사히 탈출한다. 그러나 판도라는 집요하게 비보를 노리고, 열받은 서주헌은 충격 발표를 하는데….",문페이스,2026-03-31,https://image.aladin.co.kr/product/38834/82/coversum/k732137389_1.jpg,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=388348288,총 1권 포함 (대표작: 도굴왕 17),화려하고 우아한 판타지,elegant and ornate fantasy
품격을 배반한다,판타지,"스르륵코믹스 (지은이), 김빠 (원작)",740,"3년 전, 온 세상이 차갑게 얼어붙은 겨울. 전쟁에서 후퇴한 군대를 위해 베르디에 영지는 성문을 열었다. “저는 전쟁을 하는 군사가 아닙니다, 공작님.” 흰 눈처럼 고요히 빛나는 클로이와 칼끝처럼 거침없고 예리한 데미안의 첫 만남. 평화롭던 클로이의 숲, 그 안쪽까지 데미안은 발을 들이는데….",문페이스,2026-03-26,https://image.aladin.co.kr/product/38594/52/coversum/k442136273_1.jpg,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=385945236,총 3권 포함 (대표작: 품격을 배반한다 1~2 세트 - 전2권 (한정판) - 표지 일러스트 엽서 2종 + 작가진 친필 사인 인쇄지(1권 수록) + 명장면 PET 책갈피 2종 + SD 스티커),화려하고 우아한 판타지,elegant and ornate fantasy
닥터 프로스트,드라마/성장,이종범 (지은이),730,문성현의 최종 계획을 알아낸 프로스트 일행은 광장으로 향하지만 대규모 집회는 걷잡을 수 없는 폭동으로 변질되어 분노하는 자와 막으려는 자들이 뒤엉킨다. 아수라장의 한복판에서 혼돈을 잠재울 심리 트랩을 제시한 프로스트. 곧이어 숨어 있던 문성현을 찾아내고 마침내 두 남자는 서로를 마주한다. 프로스트는 문성현의 궁극적인 목적을 알아내고 그를 제지할 수 있을까?,문학동네,2026-04-08,https://image.aladin.co.kr/product/38950/11/coversum/k762137115_1.jpg,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=389501159,"총 5권 포함 (대표작: 닥터 프로스트 22 - 시즌 4, 완결)",역동적인 액션,dynamic and colorful action
악녀를 죽여 줘,판타지,"해기 (지은이), 사월생 (원작)",729,"황제와 황후를 독살한 범인으로 미제리안 가문이 지목되고, 에리스는 비로소 다가온 죽음을 기꺼이 받아들인다. 그러나 원작의 세 사람, 알렉토와 이아손, 휘브리스는 에리스를 자신들의 곁에 옭아매기 위한 계략을 꾸민다.
",디앤씨웹툰비즈,2025-05-29,https://image.aladin.co.kr/product/36443/21/coversum/k582039396_1.jpg,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=364432162,"총 5권 포함 (대표작: 악녀를 죽여 줘 7 - 만화, 완결)",화려하고 우아한 판타지,elegant and ornate fantasy
눈에 밟힌 발걸음,드라마/성장,사이사 (지은이),712,"모든 것이 얼어붙어 버린 세상. 의족을 찬 소년 ‘서선우’는 옆집에 사는 어린아이 ‘최이서’를 돌봐주며 서로에게 의지한 채 살아간다. 어느 날, 감기에 걸린 이서의 약을 구하기 위해 선우는 홀로 집을 나서고 집으로 돌아가던 길에 자신을 마중 나왔다가 사고를 당해 쓰러져 있는 이서를 발견하는데...",네이버웹툰,2026-02-11,https://image.aladin.co.kr/product/38203/74/coversum/k922034818_1.jpg,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=382037401,총 1권 포함 (대표작: 눈에 밟힌 발걸음),따뜻하고 포근한 힐링,warm and cozy healing
만화 사내 맞선,드라마/성장,"NARAK (지은이), 해화 (원작), 들깨 (각색)",711,7권에서는 새로운 인물이 등장한다. 스타일도 멋지고 일도 능숙하게 해내는 커리어 우먼 채서진 전무. 태무와 미국 유학 시절부터 알고 지낸 절친에 미국 지사에서도 함께 파트너로 일했다는 두 사람. 게다가 과거 둘이 사귀었다는 소문까지 도는데….,연담,2022-09-29,https://image.aladin.co.kr/product/27426/50/coversum/k432733273_1.jpg,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=274265000,총 3권 포함 (대표작: 만화 사내 맞선 7),밝고 화사한 로맨스,bright and pastel romance
뽀대작렬,코미디/힐링,상하 (지은이),710,"2023년, 사랑하지 않는 시대. 나아가기는커녕 뒤로 밀려나기만 하는 버거운 현실에 사랑도 꿈도 모두 포기한 지 오래. 과거를 그리워하는 김선 앞에 나타난 고양이 '뿅이'는 그녀를 20년 전으로 데려가는데….",문페이스,2026-06-11,https://image.aladin.co.kr/product/39164/97/coversum/k302138964_1.jpg,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=391649723,총 2권 포함 (대표작: 뽀대작렬 1 (특별판) - 표지 일러스트 엽서 + 작가 친필 사인 인쇄지 + 패키지 박스 + 아크릴 스탠드 + 엽서 3종 + 떡메모지 + 티코스터),빈티지하고 고전적인 화풍,vintage and retro style
싸움독학,액션,"박태준 (지은이), 김정현 (그림)",706,유호빈의 부탁으로 잠행 작전에 나선 한겨울. 과거 원펀치TV를 방송할 때 사용하던 기술을 이용해 외진 창고에 잠입에 성공. 그리고 이진호 저격을 위한 결정적인 정보를 얻게 된다. 이를 바탕으로 일자와 장소를 특정하고 다가올 그날을 위해 각자 열심히 수련을 시작하는데…….,길찾기,2025-10-31,https://image.aladin.co.kr/product/37626/41/coversum/k172032042_1.jpg,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=376264164,총 3권 포함 (대표작: 싸움독학 12),역동적인 액션,dynamic and colorful action
가짜 동맹,드라마/성장,케냠 (지은이),695,"부모님 앞에서는 둘도 없는 모범생 단짝. 눈 밖으로 벗어나는 순간부터 완전히 남. 그게 우리, 가짜로만 이루어진 사이 윤세이와 김재하다. 소꿉친구와 하루아침에 커플이 되었다? 통제가 강한 부모님들을 안심시키고 자유롭게 생활하기 위해 동맹을 맺은 두 모범생 ‘윤세이’와 ‘김재하’. 동맹을 들킬 위기를 모면하기 위한 두 사람의 가짜 커플 행세가 시작된다.",다산코믹스,2025-02-14,https://image.aladin.co.kr/product/35799/30/coversum/k912036450_1.jpg,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=357993018,총 1권 포함 (대표작: 가짜 동맹 5 - 완결),밝고 화사한 로맨스,bright and pastel romance
취사병 전설이 되다,드라마/성장,"제이로빈 (지은이), 이진수 (그림)",690,"대한민국 대표 흙수저, 강성재. 불안하기만 한 군생활에 한줄기 빛처럼 다가온 전설의 취사병이 될 기회!",지식오름,2026-05-20,https://image.aladin.co.kr/product/39354/86/coversum/k982138630_1.jpg,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=393548615,총 14권 포함 (대표작: 취사병 전설이 되다 13),따뜻하고 포근한 힐링,warm and cozy healing
문스트럭,드라마/성장,"젤리피쉬 (지은이), 영모 (그림)",690,"&lt;문스트럭&gt;은 사랑을 달콤한 감정으로만 그리지 않는다. 오히려 그 안에 숨어 있는 불안과 욕망, 그리고 무너질 수 있는 관계의 균열을 드러낸다. 각기 다른 이야기로 구성된 옴니버스 형식이지만, 읽다 보면 자연스럽게 하나의 질문으로 이어진다. 사랑한다면 어떤 짓까지 저지를 수 있을까?",네이버웹툰,2026-07-15,https://image.aladin.co.kr/product/39261/93/coversum/k542138402_1.jpg,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=392619320,"총 4권 포함 (대표작: 문스트럭 1~3 세트 - 전3권 - 초판한정 작가 친필사인(인쇄본), 투명 북마크 각 1종씩 총 3종, 엽서 3종)",역동적인 액션,dynamic and colorful action
도란의 40주 임신 출산 다이어리,드라마/성장,도란 (지은이),689,맘 카페와 SNS를 통해 예비 맘들의 많은 사랑을 받은 화제의 인스타툰 &lt;도란의 40주 임신 출산 다이어리&gt;가 단행본으로 출간되었다. 누구에게나 첫 경험은 설레면서도 낯설기만 하다. 40주간의 임신기를 통해 엄마와 아기의 목소리를 담아낸 만화에는 예비 맘의 첫 경험으로 가득하다.,다락원,2024-06-20,https://image.aladin.co.kr/product/34181/49/coversum/8927748026_1.jpg,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=341814941,총 1권 포함 (대표작: 도란의 40주 임신 출산 다이어리 - 아기와 함께 자라는 초보 엄마 완벽 가이드),밝고 화사한 로맨스,bright and pastel romance
미지의 세계,코미디/힐링,이자혜 (지은이),684,『미지의 세계 4』는 레진코믹스에서 2014년부터 2년여 기간 동안 108개의 에피소드로 연재되었던 <미지의 세계> 중에서 에피소드 55화부터 72화까지 18개의 에피소드를 모은 시리즈의 네 번째 책이다.,현실문화,2018-03-20,https://image.aladin.co.kr/product/13658/29/coversum/8965642078_1.jpg,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=136582991,총 1권 포함 (대표작: 미지의 세계 4),화려하고 우아한 판타지,elegant and ornate fantasy
묘냥이와 멍구,"스릴러/범죄, 코미디/힐링",단미 (지은이),684,"SNS에서 큰 사랑을 받은 ‘묘냥이와 멍구’ 이야기가 드디어 책으로 출간된다. 웃음과 감동, 위로와 즐거움을 선사했던 이야기 중 가장 빛나는 에피소드를 엄선해 한 권에 담았다. 취향도 정반대인 묘냥이와 멍구가 함께하는 일상은 특별한 사건 없이 흘러간다.",유어마나(거북이북스),2025-08-11,https://image.aladin.co.kr/product/37046/66/coversum/k652030134_1.jpg,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=370466632,총 1권 포함 (대표작: 묘냥이와 멍구),역동적인 액션,dynamic and colorful action
산가지는 도깨비의 꿈을 꾼다,공포/호러,LAPIS (지은이),681,'한국풍 오컬트 BL의 정석'으로 불리며 독자들의 사랑을 한 몸에 받은 인기 BL 웹툰《산가지는 도깨비의 꿈을 꾼다》가 독자들의 오랜 기다림 끝에 단행본으로 출간된다. 저주받은 운명을 짊어진 채 귀신 사냥으로 목숨을 연명해온 ‘주민찬’과 1500년 동안 거울 속에 봉인된 채 오직 한 남자만 기다려온 도깨비 ‘비환’의 이야기를 그려낸 작품이다.,다산코믹스,2025-09-24,https://image.aladin.co.kr/product/37276/78/coversum/k722031325_1.jpg,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=372767803,총 1권 포함 (대표작: 산가지는 도깨비의 꿈을 꾼다 1-3 세트 (특별판) - 전3권 - 소책자 + 캐릭터 카드 7종 세트 + 북케이스),역동적인 액션,dynamic and colorful action
초인의 시대,드라마/성장,섭이 (지은이),680,"이인종 ‘판’과의 전투에서 큰 부상을 입은 제인 소나타가 초인 ‘데프니 베이리브’에게 치료를 받기 위해 호주에 도착한 이후, 그녀를 노린 이인종들 또한 호주에 나타나며, 도시는 순식간에 혼란에 휩싸이는데...",영컴(YOUNG COM),2026-03-30,https://image.aladin.co.kr/product/38883/5/coversum/k332137305_1.jpg,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=388830575,총 11권 포함 (대표작: 초인의 시대 10),역동적인 액션,dynamic and colorful action
상남자,드라마/성장,"하늘소 (지은이), 김태궁 (원작), 도가도 (그림)",680,"오로지 성공만을 바라보며 한성의 정점, CEO의 자리까지 오른 최고의 샐러리맨 한유현. 하지만 그 대가로 사랑하던 모든 이를 잃어버린 후, 후회 섞인 인생을 돌아보고 허무한 자신의 삶을 자책하게 된다. 그러던 어느 날 기억을 안은 채, 모든 일의 시작점인 한성 전자의 신입사원 시절로 돌아가게 되는데….",재담,2026-04-27,https://image.aladin.co.kr/product/39165/72/coversum/k112138062_1.jpg,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=391657213,총 1권 포함 (대표작: 상남자 1),어둡고 거친 스릴러,dark and gritty thriller
궁,"판타지, 로맨스",박소희 (지은이),667,"입헌군주제 대한민국에서 평범한 여고생이었던 주인공 채경이가 TV로만 접했던 황태자 신이와 정략결혼하는 것에서 시작한다. 날 때부터 왕세자인 신이와 뼛속까지 소시민인 채경이가 사사건건 부딪치지만, 그 속에서 사랑을 싹틔워 가는 이야기를 담고 있다.",재담,2024-03-31,https://image.aladin.co.kr/product/33707/44/coversum/k112939341_1.jpg,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=337074420,총 3권 포함 (대표작: 궁 1 - 개정판),화려하고 우아한 판타지,elegant and ornate fantasy
곱게 자란 자식,액션,이무기 (지은이),666,"뒤늦게 간난이와 희순이를 찾으러 온 계춘이. 마침 계춘 일행이 머물렀던 터에서 기다리고 있던 박운세 일당을 마주한다. 결국 계춘이와 박운세는 한판 싸움을 벌이고, 마침내 계춘이는 박운세와 그 일당들을 쓰러뜨리는데….",영컴(YOUNG COM),2025-06-09,https://image.aladin.co.kr/product/35194/26/coversum/k002934424_1.jpg,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=351942634,총 8권 포함 (대표작: 곱게 자란 자식 9 - 완결),역동적인 액션,dynamic and colorful action
아기 다람쥐가 다 잘해요,판타지,"군청주단 (지은이), 한소영 (옮긴이), 혹등고래 (각색)",660,"국왕과 적국의 음모에 휘말려 납치된 베아티. 적국의 요새로 향하던 중, 그녀는 회귀 이전. 자신의 죽음과 함께 멸망했던 세상의 숨겨진 진실과 마주한다. “부스러기야, 이젠 모든 게 너의 손에 달렸다.” 성좌의 도움으로 베아티는 비극의 굴레를 끊어내고 왕국을 좀먹던 ‘뱀들’에게 심판을 내린다.",대원씨아이(만화),2026-03-30,https://image.aladin.co.kr/product/38875/85/coversum/k012137107_1.jpg,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=388758575,총 1권 포함 (대표작: 아기 다람쥐가 다 잘해요 8),따뜻하고 포근한 힐링,warm and cozy healing
놓지마 정신줄,드라마/성장,"신태훈, 나승훈 (지은이)",643,네이버웹툰 초인기 웹툰 《놓지마 정신줄》이 시즌3로 돌아왔다! 《놓지마 정신줄 3 시즌3》는 네이버웹툰《놓지마 정신줄》시즌3 1051화~1072화  연재분을 새로운 판형과 편집으로 엮어 독자들에게 유쾌한 재미를 제공한다.,웹툰북스,2025-11-05,https://image.aladin.co.kr/product/37615/56/coversum/k382032746_1.jpg,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=376155653,총 1권 포함 (대표작: 놓지마 정신줄 3 - 시즌 3),역동적인 액션,dynamic and colorful action
꽃이 지는 연못,"로맨스, SF/미래",콩햄 (지은이),640,"웹툰 플랫폼 봄툰에서 많은 사랑을 받아온 콩햄 작가의 인기 BL 오메가버스 웹툰 『꽃이 지는 연못』이 마침내 단행본으로 출간된다. 『꽃이 지는 연못』은 한우주와 최한빛, 가족이지만 혈연이 아닌 두 인물이 한 지붕 아래에서 살아가며 겪는 미묘한 감정과 짝사랑의 서사를 담아낸 작품이다.",다산코믹스,2026-01-19,https://image.aladin.co.kr/product/37042/33/coversum/k292030031_1.jpg,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=370423385,총 4권 포함 (대표작: 꽃이 지는 연못 1~2 특별판 세트 - 전2권 - 표지 엽서 2종 + 우주 학생증 + 한빛 클리어 스탠드 + 우주&한빛 띠부씰 + 한빛 증명사진 2장 + 종이 홀더),밝고 화사한 로맨스,bright and pastel romance
계모인데 딸이 너무 귀여워,"스릴러/범죄, 공포/호러","모구랭 (지은이), 이르 (원작)",625,"하늘색 머리카락에 은색 눈을 가진, 베리테와 닮은 소년을 찾는 낯선 여행자들…?! 저주 사건의 범인을 알아내기 위해 단서를 모으는 아비게일과 세이블리안. 그러던 중, 예상치 못한 소식을 듣게 되는데…. 마도구라고 생각했던 베리테가, 사실은 거울 속에 갇힌 사람일지도 모른다고?!",에이템포미디어,2026-04-07,https://image.aladin.co.kr/product/38994/35/coversum/k552137127_1.jpg,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=389943599,총 1권 포함 (대표작: 계모인데 딸이 너무 귀여워 10 - 만화),화려하고 우아한 판타지,elegant and ornate fantasy
좀비가 되어버린 나의 딸,공포/호러,이윤창 (지은이),617,"어느 날, 서울 한복판에서 갑작스럽게 좀비 바이러스가 출몰하고, 대한민국은 삽시간에 퍼진 좀비 바이러스로 인해 아비규환이 된다. 정환과 그의 딸 수아도 시골에 있는 할머니 집으로 내려가 피신하기로 하지만 이미 집 밖은 좀비가 득실거린다.",영컴(YOUNG COM),2022-08-09,https://image.aladin.co.kr/product/30037/24/coversum/k472839265_1.jpg,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=300372485,총 7권 포함 (대표작: 좀비가 되어버린 나의 딸 1),밝고 화사한 로맨스,bright and pastel romance
