title,genres,overview,keywords,director,cast,runtime,popularity,vote_average,vote_count,release_date,poster_url,movie_id
리 크로닌의 미이라,"스릴러/범죄, 공포/호러","한 기자의 어린 딸이 흔적도 없이 사막으로 사라진다. 그리고 8년 후, 산산이 부서진 가족은 그녀가 다시 돌아왔다는 소식에 충격을 받는다. 하지만 기쁨으로 가득해야 할 재회는 곧 살아 있는 악몽으로 변해간다.","journalist, egypt, monster, ritual, kidnapping",리 크로닌,"잭 레이너, 라이아 코스타, 메이 칼라마위",133,604.065,8.0,795,2026-04-15,https://image.tmdb.org/t/p/w500/zXlwtzXP80yc3X0VokdxvmsFQfw.jpg,1304313
퍼니셔 원 라스트 킬,"액션, 스릴러/범죄",복수 이상의 의미를 찾아 헤매던 프랭크 캐슬은 뜻밖의 싸움을 다시 시작하게 된다.,"post-traumatic stress disorder (ptsd), gun, anti hero, hallucination, based on comic",Reinaldo Marcus Green,"존 번설, 데보라 앤 월, 제이슨 R. 무어",51,548.4984,8.485,1074,2026-05-12,https://image.tmdb.org/t/p/w500/dfKKipbQswChklXaaVTh6FP3oaJ.jpg,1439930
프로젝트 헤일메리,"액션, SF/미래",눈을 떠보니 아득한 우주의 한가운데에서 깨어난 중학교 과학교사 그레이스는 희미한 기억 속에서 자신이 죽어가는 태양으로부터 지구와 인류를 살릴 마지막 희망으로 이곳에 왔다는 사실을 알게 된다. 잃어버린 기억으로 인해 모든 것이 혼란스러운 상황에서 그레이스는 우연히 우주 한복판에서 같은 목적으로 온 뜻밖의 존재 로키를 만나게 되고 그레이스와 로키는 각 두 행성의 운명을 건 마지막 미션을 수행하러 떠나게 되는데…,"friendship, coma, based on novel or book, bravery, sun",필 로드,"라이언 고슬링, 산드라 휠러, 제임스 오티즈",157,399.5933,8.612,3844,2026-03-15,https://image.tmdb.org/t/p/w500/qqGpVVZk2KD1lAvccgTU4Z6nh1H.jpg,687163
슈퍼 마리오 갤럭시,"판타지, 액션","브루클린의 배관공에서 세계를 구한 히어로로 레벨업한 형제 ‘마리오’와 ‘루이지’는 모래 왕국에서 임무를 수행하던 중, 길을 잃은 ‘요시’를 구출하며 특별한 우정을 쌓게 된다. 한편, 무너진 ‘쿠파’ 가문의 명예를 되찾기 위해 악의 왕자 ‘쿠파주니어’는 은하계의 수호자이자 치코들의 엄마 ‘로젤리나’를 납치하고, 버섯 왕국에 잡힌 아빠 ‘쿠파’를 되찾기 위해 왕국을 습격한다. 다시 찾아온 위기 속에서 마리오와 루이지, 피치, 키노피오 그리고 새로 합류한 요시까지 로젤리나도 구하고, 쿠파주니어의 비범한 계획을 막기 위해 넓은 갤럭시로 뛰어들게 되는데…","galaxy, friendship, sibling relationship, space travel, turtle",마이클 제레닉,"크리스 프랫, 안야 테일러조이, 찰리 데이",99,375.5009,7.695,1487,2026-04-01,https://image.tmdb.org/t/p/w500/knaXOBDBecVBWZVup3zXaOoy23v.jpg,1226863
톰 클랜시의 잭 라이언: 고스트 워,"액션, 스릴러/범죄","잭 라이언은 국제 비밀 작전으로 치명적인 음모의 실체가 드러나면서 마지못해 다시 첩보의 세계로 끌려 들어간다. 시간과의 싸움 속에서 그는 CIA 동료 마이크 노벰버, 제임스 그리어, 그리고 냉철한 MI6 요원 에마 말로와 함께 통제권을 벗어난 블랙옵스 부대에 맞서며, 지금껏 가장 뼈아프고 혹독한 작전을 펼쳐나간다.","based on tv series, suspense",Andrew Bernstein,"존 크래신스키, 시에나 밀러, 웬들 피어스",107,372.0336,7.173,136,2026-05-20,https://image.tmdb.org/t/p/w500/3PufRWSVgSVwIr9M5YOmx4gu5Fu.jpg,1380291
뒤바뀐 친구들의 신비한 모험,"판타지, 액션",갑자기 몸이 뒤바뀌게 된 작은 숲속 생물과 위풍당당한 새. 일생일대의 모험을 헤쳐나가기 위해 어쩔 수 없이 힘을 합친다.,"wolf, buddy, forest fire, woodlands, forest lore",네이든 그레노,"마이클 B. 조던, 주노 템플, 트레이시 모건",102,314.2688,8.978,1278,2026-05-01,https://image.tmdb.org/t/p/w500/uv0iRQXDbtWHo1zPk3TZNo4Biti.jpg,1007757
악마는 프라다를 입는다,"코미디/힐링, 드라마/성장",명문대를 졸업한 소도시 출신의 앤드리아 삭스. 최고의 저널리스트 꿈을 안고 뉴욕에 상경하지만 그녀의 이력서를 보고 연락이 온 곳은 딱 한곳. 세계 최고의 패션지 런웨이 뿐이다. 그것도 기자가 아닌 편집장 미란다의 말단 비서로서. 미란다 프리슬리는 세계 패션쇼의 스케쥴을 바꿀 수 있을 만큼의 거물이지만 까다로운 완벽주의자로 악명이 높다. 직장생활의 꿈에 부푼 앤드리아. 그러나 현실은 지옥 그 자체. 악마 같은 미란다 밑에서 그녀는 과연 살아남을 수 있을까?,"new york city, journalist, paris, france, based on novel or book, journalism",데이비드 프랭클,"메릴 스트립, 앤 해서웨이, 에밀리 블런트",109,215.3848,7.418,13517,2006-06-29,https://image.tmdb.org/t/p/w500/lxjGbkRnY9d2j8cxIHxX57NNvRH.jpg,350
모탈 컴뱃 2,"판타지, 액션","왕년의 할리우드 액션 스타 ‘쟈니 케이지’. 무기는 ‘잘생긴 얼굴’ 하나뿐인 그가 지구의 운명을 짊어진 어스렐름의 전사로 낙점되어, 자비 없는 선혈의 전장 ‘모탈 컴뱃’ 토너먼트 리그에 강제 투입된다. 죽을 때까지 결코 끝나지 않는 토너먼트 속 ‘쟈니 케이지’는 궁극의 악 ‘샤오 칸’에 맞서, 복수를 위해 칼날을 간 에데니아의 공주 ‘키타나’와 어스렐름의 정예 전사들과 함께 위험천만한 리얼 액션에 뛰어드는데…","martial arts, magic, ninja fighter, gore, sequel",Simon McQuoid,"칼 어번, 아델린 루돌프, 제시카 맥너미",116,204.0723,6.875,256,2026-05-06,https://image.tmdb.org/t/p/w500/1NgBKiPrJzv1VHdEN8brdy59Rxo.jpg,931285
정점,"액션, 스릴러/범죄","슬픔에 잠긴 채 호주 오지로 모험을 떠난 여성. 홀로 자신의 한계를 밀어붙이던 중 목숨을 노리는 살인마를 맞닥뜨리고, 그가 교활하게 설계한 뒤틀린 게임에 속수무책으로 휘말린다.","canoe trip, rock climbing, foreboding, nutcase, survival instinct",Baltasar Kormákur,"샤를리즈 테론, 태런 에저턴, 에릭 배너",96,184.5595,6.675,1166,2026-04-24,https://image.tmdb.org/t/p/w500/wGHGVAJGTn2BqsuFfPK8lzPiKjH.jpg,1318447
모탈 컴뱃,"판타지, 액션",어스렐름와 아웃월드의 최강 챔피언들이 지구의 운명을 걸고 벌이는 서바이벌 대혈전 모탈 컴뱃. MMA 격투 선수 콜 영은 대전을 앞두고 선택 받은 전사들을 사전에 제거하려는 서브제로의 공격을 받는다. 지구와 가족을 보호하고 자기 혈통의 비밀을 알아내기 위해 모탈 컴뱃 토너먼트에 참가해 죽음의 전투를 치러야 한다!,"saving the world, magic, ninja fighter, gore, god",Simon McQuoid,"루이스 탠, 제시카 맥너미, 메커드 브룩스",110,173.1472,7.029,6596,2021-04-07,https://image.tmdb.org/t/p/w500/3dTg1pgasstOa0XJTwt3dBFHjFf.jpg,460465
아바타: 불과 재,"판타지, 액션","인간들과의 전쟁으로 첫째 아들 ‘네테이얌’을 잃은 후, ‘제이크’와 ‘네이티리’는 깊은 슬픔에 빠진다. 상실에 빠진 이들 앞에 '바랑'이 이끄는 재의 부족이 등장하면서, 판도라는 더욱 큰 위험에 빠지게 되고, ‘설리’ 가족은 선택의 기로에 서게 되는데…","witch, clone, space war, tribe, sequel",제임스 카메론,"샘 워싱턴, 조 샐다나, 시고니 위버",195,152.4538,7.492,3136,2025-12-17,https://image.tmdb.org/t/p/w500/dU7bFp3dbFUZxzP8OVsBLWb93QP.jpg,83533
비스트,"액션, 드라마/성장","MMA의 전설 패튼 제임스는 현재 상업 어부로 일하고 있지만, 동생이 위험에 처하자 다시 옥타곤으로 돌아온다. 옛 코치 새미와 재회한 그는 잔혹한 챔피언 자비에르 그라우를 상대로 단 한 번의 챔피언십 경기를 치르기로 결심한다.","mixed martial arts (mma), sports drama",Tyler Atkins,"Daniel MacPherson, 루크 헴스워스, 러셀 크로우",114,131.2628,6.289,38,2026-04-10,https://image.tmdb.org/t/p/w500/7NrvUI3vnW8H3rD7ExKcTL7KRcQ.jpg,1292415
만달로리안과 그로구,"액션, SF/미래",은하계를 누비는 현상금 사냥꾼 ‘딘 자린’ & 치명적인 귀여움의 ‘그로구’,"galaxy, bounty hunter, spin off, space opera, space adventure",존 파브로,"페드로 파스칼, 제레미 앨런 화이트, 시고니 위버",132,130.6083,6.589,96,2026-05-19,https://image.tmdb.org/t/p/w500/tMP99wq45GQMoeZwITgjAS8Wihm.jpg,1228710
포풍추영,"액션, 스릴러/범죄","첨단 감시 시스템과 삼엄한 보안망을 무력화하고, 수십억을 탈취한 정체불명의 범죄 조직. 통제 불능의 범죄에 마카오 경찰은 결국 은퇴한 전설의 범죄 추적 전문가 ‘황더중’에게 도움을 요청한다. 황더중은 신입 경찰 ‘허추궈’와 함께 최정예 감시반을 구성해, 범죄 조직의 수장 ‘푸룽성’을 추적하기 시작한다. 하지만 수사망이 조여올수록 상대의 덫과 함정은 더욱 교묘해지고, 예상치 못한 반격 속에 황더중 역시 추적당하기 시작하는데…","race against time, ex-cop, betrayal, macau, hand to hand combat",杨子,"성룡, 장자풍, 양가휘",142,124.5982,7.36,666,2025-08-16,https://image.tmdb.org/t/p/w500/uiIT7CsJ4V7rMnTqy7xYvj9IRhs.jpg,1419406
호퍼스,"액션, SF/미래","오랜 연구 끝에 개발한 ‘호핑’ 기술로 동물 세계에 가까이 갈 수 있음을 알게 된 주인공 ‘메이블’은 마치 ‘아바타’ 같다며 신기해하고, 직접 로봇 비버가 되어 동물들의 세계에 잠입한다. 그들의 말을 알아듣게 된 ‘메이블’은 진짜 동물이 된 것처럼 동물 세상을 경험하는 가운데, 연못에 있던 다른 비버에게 달려드는 곰을 막아서지만 그들에겐 그들만의 질서와 법칙이 있다는 사실을 알게 된다. ‘호핑‘ 기술을 개발한 박사는 이 기술을 자연계 질서를 어지럽히는 데 쓰면 안 된다고 경고하지만, ‘메이블’은 통신을 끊어버려 이후 예측불가의 모험이 펼쳐질 것을 예고한다.","human vs nature, spy, beaver, oregon, usa, transhumanism",다니엘 총,"파이퍼 쿠르다, 바비 모니한, 존 햄",104,123.7509,8.083,1174,2026-03-04,https://image.tmdb.org/t/p/w500/vJu9THzQ26Q5sWOVnhOkuRH5M1P.jpg,1327819
마이클,"드라마/성장, 음악/스포츠","어린 나이에 형제들과 ‘잭슨 파이브’ 그룹의 막내로 데뷔하자마자 음악적 천재성과 스타성으로 주목을 받은 ‘마이클 잭슨’. 전세계적인 스타로 성공하지만, 그는 가족에 대한 책임감과 자신의 음악적 정체성 사이에서 고민에 빠지게 된다.","child abuse, sibling relationship, 1970s, abusive father, ambition",안톤 후쿠아,"자파 잭슨, 콜먼 도밍고, 니아 롱",128,114.5426,7.579,803,2026-04-22,https://image.tmdb.org/t/p/w500/piMZqtd0gGS7OgkhDwiQ7vVViBQ.jpg,936075
친애하는 나의 킬러,"로맨스, 액션","희귀 혈액형 때문에 쫓기던 소녀가 암살자 가족의 손에 길러진다. 그런데 복수심에 불타는 적이 그녀의 혈액을 노리고 다시 돌아오자, 그녀는 사랑하는 이와 함께 싸워 영원히 자유를 쟁취하기로 결심한다. 희귀 혈액형을 지닌 베트남 소녀 란은 부모를 살해한 냉혹한 보물 사냥꾼 프륵에게 쫓기다 암살 조직인 하우스 89의 수장 포에게 구출돼 태국으로 옮겨진다. 그곳에서 포의 친아들 쁘란, 그리고 고아였으나 포가 거두어들인 M과 가족처럼 지내며 성장한다. 쁘란은 어떻게든 란을 지켜야 하는 임무를 맡게 되고, 시간이 흐르면서 두 사람은 연인 관계로 발전한다. 하지만 란의 혈액을 손에 넣겠다는 집념에 사로잡힌 프륵이 나타나자 둘의 행복은 산산조각 난다. 한편, 란은 하우스 89가 자기를 받아준 이유에 대한 뜻밖의 진실을 알게 되고, 혈액으로 인해 다시금 표적이 된 상황에서 부모의 원수를 향해 복수를 다짐한다. 더 이상 도망치지 않기로 결심한 란은 사랑하는 이와 함께 맞서 싸우며 자유를 쟁취하려 한다.","cynical, brisk",Taweewat Wantha,"พิมพ์ชนก ลือวิเศษไพบูลย์, ธนภพ ลีรัตนขจร, ศิวกร อดุลสุทธิกุล",128,113.7208,8.605,191,2026-05-06,https://image.tmdb.org/t/p/w500/70bLedAueeJXOEVqXnNToj8zLvy.jpg,1630423
미이라,"판타지, 액션","고대 이집트의 파라오 중 가장 영화를 누렸던 세티 1세의 시대. 세티 1세의 정부인 앙크수나문과 세티 1세의 총애을 한몸에 받던 승정원 이모탭은 금지된 사랑에 빠진다. 그러나 그들의 운명적인 사랑은 얼마되지 않아 파라오에게 발각되고 이에 앙크수나문은 자결하게 된다. 이모텝은 흑마서의 주문으로 그녀를 부활시키려 하지만, 파라오의 근위대에 붙잡히게 되고, '홈다이'라는 형벌에 처해진다. 홈다이란 산 채로 석관에 갇혀 영원히 생시체가 되는 끔찍한 극형. 결국 금지된 사랑은 파라오의 저주로 비극적인 끝을 맺고 왕족들이 잠든 하무납트라는 죽음의 도시가 되어 역사 속에 묻힌다.  황금의 유물을 찾아 여러 탐험가들이 하무납트라를 찾아오지만 하나 같이 의문의 죽음을 당하고, 전투 중에 피신했던 외인부대 장교 오커넬만이 유일하게 살아남는다. 그 소식을 들은 이집트 박물관 사서 이비와 그녀의 오빠 조나단이 오커넬을 찾아오고 죽음의 도시 하무납트라에 관한 단서를 듣게 된다. 용기와 모험심으로 뭉친 세 사람은 의기 투합하여 하무납트라의 황금유물을 찾아 떠나기로 한다.  한편 파라오의 저주를 푸는 열쇠를 손에 넣은 조나단은 실수로 이모텝을 부활시키고, 마침내 3천년을 기다려온 엄청난 분노가 온 이집트를 뒤덮는데. 아무것도 모르는 세 사람은 죽음과 저주의 왕국 한 가운데에서 살아난 미이라와의 사투를 벌인다.","egypt, cairo, library, secret passage, pastor",Stephen Sommers,"브랜든 프레이저, 레이첼 와이즈, 존 해나",124,113.0772,6.971,9976,1999-04-16,https://image.tmdb.org/t/p/w500/31lxBgDl51HYnAnIV41aPyK4em7.jpg,564
고트: 더 레전드,"코미디/힐링, 드라마/성장","큰 꿈을 품은 작은 염소 윌은 세계에서 가장 빠르고 사나운 동물들이 지배하는 고강도 혼성 풀컨택트 스포츠 ‘로어볼’의 프로 리그에 합류할 단 한 번의 기회를 얻게 된다. 새 팀의 동료들은 작은 염소가 팀 명단에 오른 것을 탐탁지 않게 여기지만, 윌은 ‘작아도 충분히 해낼 수 있다’는 것을 증명하고 스포츠의 판도를 바꾸겠다는 굳은 결의를 다진다. 이를 위해 그는 지금까지 한 번도 해본 적 없는 도전에 나서야 한다.","underdog, friendship, sports, allies, ambition",Tyree Dillihay,"케일럽 맥러플린, 가브리엘 유니온, 스테판 커리",100,110.7801,8.126,649,2026-02-11,https://image.tmdb.org/t/p/w500/otP94vckeMXAgQxzhcRkZSeSmYv.jpg,1297842
그래픽 디자이어,스릴러/범죄,친구의 소개로 데이팅 앱에 가입한 '프랭크'  연인 몰래 앱을 통해 만난 여성에게 강한 성적 끌림을 느낀 그는 다시 그녀를 찾지만 여자는 사라지고 계정도 비활성화된다.  현실과 가상을 넘나들며 그녀를 찾아 헤매는 동안 그는 점점 데이팅 앱에 중독되고 결국 예기치 못한 사건에 휘말리고 마는데∙∙∙,"infidelity, cheating, killing, murder, erotic thriller",Andy Edwards,"David Wayman, Sian Altman, May Kelly",90,103.4585,6.956,68,2023-08-31,https://image.tmdb.org/t/p/w500/8EHehEMsJVIPp2n2ROhZU8dbpJC.jpg,976912
레디 오어 낫 2,"스릴러/범죄, 공포/호러",르 도마스 가문의 공격에서 간신히 살아남은 지 몇 분도 되지 않아 그레이스는 자신이 이 악몽 같은 게임의 ‘다음 레벨’에 도달했다는 사실을 깨닫는다. 이번에는 오랫동안 왕래 없던 여동생 페이스까지 함께다.,"escape, ritual, dark comedy, satanism, gore",맷 베티넬리올핀,"사마라 위빙, 캐서린 뉴턴, 일라이저 우드",108,103.4272,7.647,805,2026-03-19,https://image.tmdb.org/t/p/w500/13ZcJzSGEqVgDSqsS9U5EkQwPkV.jpg,1266127
"카르타비아, 나의 의무","스릴러/범죄, 드라마/성장",한 경찰관의 가족이 위기에 처하고 위협이 목을 죄어 오는 상황. 경찰관은 자신의 의무를 다하기 위해 어디까지 희생할 수 있을 것인가.,"detective, gritty, dark thriller",Pulkit,"사이프 알리 칸, रसिका दुग्गल, Sanjay Mishra",109,103.1643,6.1,8,2026-05-15,https://image.tmdb.org/t/p/w500/doTwMyAphlDL5Z8WqE3elWWvj8M.jpg,1628367
극장판 귀멸의 칼날: 무한성편,"판타지, 액션","혈귀로 변해버린 여동생 네즈코를 인간으로 되돌리기 위해 혈귀를 사냥하는 조직인 《귀살대》에 입대한 카마도 탄지로. 입대 후 동료인 아가츠마 젠이츠, 하시비라 이노스케와 함께 많은 혈귀와 싸우고, 성장하면서 세 사람의 우정과 유대는 깊어진다. 탄지로는 《귀살대》 최고위 검사인 《주》와도 함께 싸웠다. 「무한열차」에서는 염주・렌고쿠 쿄쥬로, 「유곽」에서는 음주・우즈이 텐겐, 「도공 마을」에서는 하주・토키토 무이치로, 연주・칸로지 미츠리와 함께 혈귀를 상대로 격렬한 전투를 벌였다. 그 후 다가올 혈귀와의 결전에 대비해 귀살대원들과 함께 《주》가 주도하는 합동 강화 훈련에 참가해 훈련을 받던 도중 《귀살대》의 본부인 우부야시키 저택에 나타난 키부츠지 무잔. 어르신의 위기에 달려온 《주》들과 탄지로였지만, 무잔의 술수로 의문의 공간으로 떨어지고 말았는데. 탄지로 일행이 떨어진 곳, 그곳은 혈귀의 본거지 《무한성》─ “귀살대”와 “혈귀”의 최종 결전의 포문이 열린다.","supernatural, sequel, based on manga, demon, shounen",소토자키 하루오,"하나에 나츠키, 사쿠라이 타카히로, 이시다 아키라",155,102.2256,7.717,838,2025-07-18,https://image.tmdb.org/t/p/w500/m6Dho6hDCcL5KI8mOQNemZAedFI.jpg,1311031
아쿠아리움이 문을 닫으면,"스릴러/범죄, 드라마/성장",작은 마을의 아쿠아리움에서 야간 근무를 하는 여자. 남편과 사별한 그녀는 영리한 문어와 삶의 방향을 잃은 젊은 남자와 친구가 된다. 베스트셀러를 원작으로 한 감동적인 드라마 영화.,"aquarium, octopus, british columbia, washington, loss of child",Olivia Newman,"샐리 필드, 루이스 풀먼, Colm Meaney",114,92.4655,8.548,364,2026-05-07,https://image.tmdb.org/t/p/w500/mUt0SnTp0oAN38BHD7NGX8hmwAT.jpg,1330021
시스템,스릴러/범죄,"상류층 검사 네하 라지반시는 자신과 전혀 다른 환경에 사는 법정 속기사 사리카 라와트의 도움으로 대형 사건을 맡아 성공 가도를 달린다. 두 사람이 승승장구할수록 권력이 곧 진실이 되는 현대 인도 사회의 현실에 묻혀 있던 부정부패가 드러나고, 네하는 유산을 그대로 물려받을 것인지, 아니면 정의를 위해 싸우며 새 역사를 쓸 것인지를 선택해야 한다.","truth, justice, courtroom drama, legal system, power dynamics",Ashwiny Iyer Tiwari,"Sonakshi Sinha, Jyothika, Ashutosh Gowariker",125,85.1228,0.0,0,2026-05-22,https://image.tmdb.org/t/p/w500/ddSTqsxOoXs77xnKpP7XBPqiero.jpg,1431071
노멀,"액션, 스릴러/범죄","눈 덮인, 조용하고 평범한 마을 노멀. 보안관 건더슨의 갑작스러운 죽음으로 공석이 된 자리에, 율리시스가 임시 보안관으로 부임한다. 조용한 마을, 친절한 이웃, 평화로운 하루. 율리시스의 목표는 단 하나, 이 마을을 처음 왔을 때 모습 그대로 두고 돌아가는 것. 그러던 어느 날, 단조로운 마을에 느닷없이 벌어진 은행 강도 사건. 현장을 제압하기 위해 출동한 율리시스는 뜻밖에도 동료들에게 포위당하게 되고, 그 순간, 평범해 보이던 노멀 마을에 숨겨진 거대한 비밀이 서서히 모습을 드러내기 시작한다.","small town, sheriff, bank robbery, small town sheriff, corrupt mayor",벤 휘틀리,"밥 오덴커크, 헨리 윙클러, 레나 헤디",90,80.4794,6.52,75,2026-04-16,https://image.tmdb.org/t/p/w500/A7TN0R78eenIf7hED3k96POTJMX.jpg,1242332
주토피아 2,"액션, 스릴러/범죄","미스터리한 뱀 게리가 나타난 순간, 주토피아가 다시 흔들리기 시작했다! 혼란에 빠진 도시를 구하기 위해 환상의 콤비 주디와 닉이 잠입 수사에 나서고 상상 그 이상의 진실과 위협을 마주하게 되는데...!","snake, bunny, fox, cop, sequel",재러드 부시,"지니퍼 굿윈, 제이슨 베이트먼, 키호이콴",108,79.9762,7.637,2788,2025-11-26,https://image.tmdb.org/t/p/w500/ib6v6qUXzez1x2qIOLN7C0yJNPQ.jpg,1084242
"마이 티쳐, 마이 러브","스릴러/범죄, 드라마/성장","아픈 상처를 딛고 새 출발을 다짐하며 이사 온 크리스와 라일리 부녀. 모든 것이 낯선 라일리에게 먼저 다가온 카일라. 라일리는 점차 카일라에게 마음을 열지만 카일라는 어쩐지 라일리의 아빠이자 영어 교사인 크리스에게 더 관심을 갖는다. 한편, 엄마의 새 애인이 크리스라는 걸 알게 된 카일라는 거짓과 음모로 둘 사이를 갈라놓고 감춰둔 욕망을 꺼내기 시작하는데…","teacher student relationship, disrespectful",Damián Romay,"Rusty Joiner, Lucy Loken, Laura Bilgeri",86,78.3863,5.0,105,2018-06-12,https://image.tmdb.org/t/p/w500/2VOFI6HOnuncgTU08rjDwUG5FDs.jpg,530442
쉘터,"액션, 스릴러/범죄","등대에 홀로 숨어살던 한 남자. 그 앞에 홀로 나타난 한 소녀. 이제 소녀를 지키기 위해, 그 남자의 숨겨왔던 액션 본능이 깨어난다!","home invasion, mysterious girl, ghosts of the past, isolated island, child protection",Ric Roman Waugh,"제이슨 스타뎀, 보디 래 브레스나크, 나오미 애키",108,76.5685,7.558,992,2026-01-28,https://image.tmdb.org/t/p/w500/tS3UZlVfESO4z8inIZXGiHNgDfE.jpg,1290821
애프터: 관계의 함정,"로맨스, 드라마/성장","영국 런던에서 미국 시애틀까지, 핫스팟에서 시작된 사랑의 클라이맥스! 첫사랑, 첫키스, 첫경험, 설렘 가득했던 처음을 뒤로 하고 꿈을 위해 잠시 서로를 떠나게 된 하딘과 테사. 각자 영국 런던과 미국 시애틀에서 롱디 연애를 앞둔 두 사람은 시간과 장소를 가리지 않고 달콤한 사랑을 속삭인다. 하지만 연애와 꿈의 갈림길에 선 둘은 서로에게 감춘 '누군가'의 존재와 예상치 못한 비밀까지 알게 되면서 사랑의 클라이맥스에 치닫게 되는데…","based on novel or book, family history, love, teenage crush, woman director",Castille Landon,"Josephine Langford, 히어로 파인스 티핀, Carter Jenkins",99,73.7431,7.005,2736,2021-09-01,https://image.tmdb.org/t/p/w500/o0PgoBD6jLYId3LYpu9yUY06SLT.jpg,744275
우주전쟁,"스릴러/범죄, SF/미래","전설적인 동명 소설을 새롭게 재해석한 이번 작품은 거대한 침공의 서막을 알린다. 에바 롱고리아와 전설적인 래퍼이자 배우 아이스 큐브, 그리고 마이클 오닐과 이만 벤슨이 합류해, 기술과 감시, 사생활이라는 현대적 주제를 아우르는 짜릿한 우주급 모험을 선보인다.","government, attack, privacy, surveillance, found footage",Rich Lee,"아이스 큐브, 에바 롱고리아, 클라크 그렉",145,73.6158,4.12,992,2025-07-29,https://image.tmdb.org/t/p/w500/yvirUYrva23IudARHn3mMGVxWqM.jpg,755898
두란다르,"액션, 스릴러/범죄","1999년 12월 30일, 인도 외무부 장관 데바브라트 카푸르와 정보국의 국장인 아제이 산얄(M. 마다반)은 인도 항공기를 납치한 테러범인 자후르 미스트리와 협상을 벌여 세 명의 테러범들을 석방하고 칸다하르에 억류된 승객들의 목숨을 대가로 1천만 달러의 몸값을 지불한다. R&AW의 특별 비서관 K.S. 불라르는 파키스탄의 테러 조직에 침투하자는 산얄의 제안을 거부하지만, 장관인 데바브라트는 2001년 인도 의회의 공격 이후 산얄의 비밀 작전인 ""두란다르 작전""을 승인하게 되는데...","espionage, political party, politics, asia, patriotism",Aditya Dhar,"란비르 싱, Akshaye Khanna, R. Madhavan",212,72.1114,7.112,278,2025-12-05,https://image.tmdb.org/t/p/w500/8FHOtUpNIk5ZPEay2N2EY5lrxkv.jpg,1291608
인터스텔라,"액션, SF/미래","세계 각국의 정부와 경제가 완전히 붕괴된 미래가 다가온다. 지난 20세기에 범한 잘못이 전 세계적인 식량 부족을 불러왔고, NASA도 해체되었다. 나사 소속 우주비행사였던 쿠퍼는 지구에 몰아친 식량난으로 옥수수나 키우며 살고 있다. 거센 황사가 몰아친 어느 날 알 수 없는 힘에 이끌려 딸과 함께 도착한 곳은 인류가 이주할 행성을 찾는 나사의 비밀본부. 이 때 시공간에 불가사의한 틈이 열리고, 이 곳을 탐험해 인류를 구해야 하는 임무를 위해 쿠퍼는 만류하는 딸을 뒤로한 채 우주선에 탑승하는데...","rescue, future, spacecraft, race against time, artificial intelligence (a.i.)",크리스토퍼 놀란,"매튜 매커너히, 앤 해서웨이, 마이클 케인",169,70.894,8.5,39769,2014-11-05,https://image.tmdb.org/t/p/w500/evoEi8SBSvIIEveM3V6nCJ6vKj8.jpg,157336
미이라 2,"판타지, 액션","'미이라'에서 동고동락을 한 릭 오코넬과 에블린은 결혼하여 8살짜리 아들까지 두고 행복한 가정을 꾸려나가고 있다. 그들은 고대 이집트 문명에 관한 전문가가 되어, 세계 어느 곳이든 발굴 여행을 떠난다.  그러던 어느날 에블린이 환영을 보고, 그것을 근거로 이집트의 한 무덤에 발을 들여 놓는다. 그곳은 바로 오래전 죽음의 신 아누비스의 군대를 이끌고 전세계를 정복하였던 전설적인 왕 스콜피온 킹의 팔찌가 있는 곳이었다. 스콜피온 킹이 세계를 정복하는 꿈을 이루자 죽음의 신은 스콜피온 킹이 약속한대로 그의 영혼을 거두고 그의 군대와 종족을 없애 버렸다. 스콜피온 킹은 누군가가 그의 팔찌를 찾아 그를 환생시켜 군대를 다시 통솔할 날을 기다리며 조용히 무덤속에 묻혀 있었다.  한편, 부활한 고대 이집트 마법사 이모텝은 세계를 정복하기 위해서는 스콜피온 킹 팔찌를 찾은 뒤 그를 죽이고 그의 군대를 이용해야만 한다는 결론을 내린다. 그러나 그 팔찌는 우연히 오코넬 아들 손에 들어가고...","egypt, pyramid, son, mummy, nile",Stephen Sommers,"브랜든 프레이저, 레이첼 와이즈, 존 해나",130,70.651,6.402,7656,2001-05-04,https://image.tmdb.org/t/p/w500/1mYrlAHF0U99dm3ijaw13EpAx01.jpg,1734
복수,"액션, 스릴러/범죄","훈장을 받은 특수부대 영웅 카를로스 에스트라다. 아내가 잔인하게 살해당한 그에게 이제 남은 단 하나는 목표는 바로 복수다. 예상치 못한 운명의 장난으로 백만장자가 된 카를로스는 자신의 재산을 군수 물자로 바꾼다. 그리고 가장 신뢰하는 부하들과 함께, 사건의 배후를 향한 끈질긴 추격전을 시작한다.","revenge, betrayal, manhunt, vengeance, action thriller",Rodrigo Valdes,"Omar Chaparro, 알레한드로 스페이체르, 파올라 누녜스",103,66.9261,7.411,208,2026-02-26,https://image.tmdb.org/t/p/w500/26milocWotfItrjwnadk4gyHwyi.jpg,1613798
