track_id,title,artist,genres,spotify_link,thumbnail_url
0T0nqNuJbqRSvVNUItxVuZ,사랑한다 말할까봐,Acoustic Collabo,코미디/힐링,https://open.spotify.com/track/0T0nqNuJbqRSvVNUItxVuZ,https://i.scdn.co/image/ab67616d0000b273dfcd00d3b5f4472def7cf92c
5MTqyr7jUxluwqgNeFuEwb,대화가 필요해,Vanilla Acoustic,코미디/힐링,https://open.spotify.com/track/5MTqyr7jUxluwqgNeFuEwb,https://i.scdn.co/image/ab67616d0000b2738f3decac0069386a2e85e803
0PK1wA6tUt604p5foKSxL8,Awkward,BOL4,코미디/힐링,https://open.spotify.com/track/0PK1wA6tUt604p5foKSxL8,https://i.scdn.co/image/ab67616d0000b273d2eeee5486da9b097da93830
13z0tjS1JNelA2fEdxRcET,Just thinking about you,Vanilla Acoustic,코미디/힐링,https://open.spotify.com/track/13z0tjS1JNelA2fEdxRcET,https://i.scdn.co/image/ab67616d0000b27387ae88c0e8e5c36134ab980f
5LfmC6zY0BtflbItEBxSEF,응원가,Acoustic Collabo,코미디/힐링,https://open.spotify.com/track/5LfmC6zY0BtflbItEBxSEF,https://i.scdn.co/image/ab67616d0000b273dfcd00d3b5f4472def7cf92c
08xW8wehx6VxF5qWV7ZDIr,Love Is Getting Farther Away,Acoustic Collabo,코미디/힐링,https://open.spotify.com/track/08xW8wehx6VxF5qWV7ZDIr,https://i.scdn.co/image/ab67616d0000b273f05c02879899fcd34c44eaa8
2v6udafVd1N5zIyStI2ExI,I didn't get you,ACOURVE,코미디/힐링,https://open.spotify.com/track/2v6udafVd1N5zIyStI2ExI,https://i.scdn.co/image/ab67616d0000b273ac0282d9501df679bd8e97ea
40pFztRhn9hOGiVo7jGDEj,사진,Acoustic Collabo,코미디/힐링,https://open.spotify.com/track/40pFztRhn9hOGiVo7jGDEj,https://i.scdn.co/image/ab67616d0000b2734a4aa1612c299f28fc05ffce
6jsrY4A9YLZ1DmC56Vx9Un,"Me missing you, you being missed",Acoustic Collabo,코미디/힐링,https://open.spotify.com/track/6jsrY4A9YLZ1DmC56Vx9Un,https://i.scdn.co/image/ab67616d0000b2731dea67cd057af21ac6ea9092
6uYBDTTolezL3ne2HsXDm0,Consolation,Kwon Jin Ah,코미디/힐링,https://open.spotify.com/track/6uYBDTTolezL3ne2HsXDm0,https://i.scdn.co/image/ab67616d0000b2733112193eda2555c926910a64
63Sgah7EuTJI5FhFW2C0UF,For You,imzoo,코미디/힐링,https://open.spotify.com/track/63Sgah7EuTJI5FhFW2C0UF,https://i.scdn.co/image/ab67616d0000b273dfb52ecbd6289e53010007fd
0hBde7mG62vWkTpnFIJ1pD,GoHigh!!!,sehong,코미디/힐링,https://open.spotify.com/track/0hBde7mG62vWkTpnFIJ1pD,https://i.scdn.co/image/ab67616d0000b27390ee5e5f1a092d98195e712d
0tC5Y1Dzcub1eEljShFY0C,Comfort (Prod. by iDeal),Bassagong,코미디/힐링,https://open.spotify.com/track/0tC5Y1Dzcub1eEljShFY0C,https://i.scdn.co/image/ab67616d0000b27330763113f152fb87a320204f
666Lf7IZkTQs6L368RNimD,위로,Lim Jae Beum,코미디/힐링,https://open.spotify.com/track/666Lf7IZkTQs6L368RNimD,https://i.scdn.co/image/ab67616d0000b27312ebe3e6e32367c01c5060f5
6gdlSLY47AT7RAtkYRjKjN,위로 Consolation,Sonnet,코미디/힐링,https://open.spotify.com/track/6gdlSLY47AT7RAtkYRjKjN,https://i.scdn.co/image/ab67616d0000b2737d3d84415fcf440029a91925
786x8hwFGBewk7DYYW3BnF,위로,KIM BUMSOO,코미디/힐링,https://open.spotify.com/track/786x8hwFGBewk7DYYW3BnF,https://i.scdn.co/image/ab67616d0000b2737f584d43ea9477faaa8f9856
2Ghu1DdMwxS3VAyB7i38Wo,That's okay,D.O.,코미디/힐링,https://open.spotify.com/track/2Ghu1DdMwxS3VAyB7i38Wo,https://i.scdn.co/image/ab67616d0000b273a913b4768875bb4c53ce8658
3Lf0BbVFyzV3m3wnv56tV0,Consolation,JAURIM,코미디/힐링,https://open.spotify.com/track/3Lf0BbVFyzV3m3wnv56tV0,https://i.scdn.co/image/ab67616d0000b273585c70d9847768c159f372c8
2KVIe3JZWBKj8lUvicHERa,Dizzy,KYUL,코미디/힐링,https://open.spotify.com/track/2KVIe3JZWBKj8lUvicHERa,https://i.scdn.co/image/ab67616d0000b273d8e124648f9a66788e5cf8fa
3JKv5rt1H6o3TomGYdSsai,Grown Ups,Sondia,코미디/힐링,https://open.spotify.com/track/3JKv5rt1H6o3TomGYdSsai,https://i.scdn.co/image/ab67616d0000b273904295277c8e443e39c8e5d9
0vEsnczZyErKaBHVSP0CkP,Comfort,Jung In,코미디/힐링,https://open.spotify.com/track/0vEsnczZyErKaBHVSP0CkP,https://i.scdn.co/image/ab67616d0000b273c1e15ca721fcba57bf7226bc
5CqWp9s4jM3oWUeMPDR2Gm,위로,Hareem,코미디/힐링,https://open.spotify.com/track/5CqWp9s4jM3oWUeMPDR2Gm,https://i.scdn.co/image/ab67616d0000b273c7052a68dc47050e09ddf342
71VDUofGYtZq8haW4uCKqR,Take care,youz,코미디/힐링,https://open.spotify.com/track/71VDUofGYtZq8haW4uCKqR,https://i.scdn.co/image/ab67616d0000b2736607385d7d9be536110a79d4
6HMPaNpzjjmkIsf3LdUqoZ,위로 (慰勞),nachseol,코미디/힐링,https://open.spotify.com/track/6HMPaNpzjjmkIsf3LdUqoZ,https://i.scdn.co/image/ab67616d0000b273c0bf965c1c5593263bb18ec6
2hSpLdUAnk6y9vQyVyoSBt,Can't Soothe by Love,"Broccoli, you too?",코미디/힐링,https://open.spotify.com/track/2hSpLdUAnk6y9vQyVyoSBt,https://i.scdn.co/image/ab67616d0000b27351bdbce691e52fe109bc14c0
3LVvBMCKu30y6oXBRV3LNx,Soothe (feat. Junmo),J_ust,코미디/힐링,https://open.spotify.com/track/3LVvBMCKu30y6oXBRV3LNx,https://i.scdn.co/image/ab67616d0000b273d65fdae7019979a2dd5c4e2e
0jBxhRIYBsMQlXG0pIuIKs,위로가 필요한 밤에,Little Fish,코미디/힐링,https://open.spotify.com/track/0jBxhRIYBsMQlXG0pIuIKs,https://i.scdn.co/image/ab67616d0000b27309ec895fdee81e72682fbc48
2U7Ik5fUTB0LywUrOkdskK,REFUGE,PSY,코미디/힐링,https://open.spotify.com/track/2U7Ik5fUTB0LywUrOkdskK,https://i.scdn.co/image/ab67616d0000b273e76e23b5d422364e5c37063a
6G4z9WbxyEeWdEQTfShACT,BREATHE,LEEHI,코미디/힐링,https://open.spotify.com/track/6G4z9WbxyEeWdEQTfShACT,https://i.scdn.co/image/ab67616d0000b273298c56a4f6053a44b9bf968e
5uxGfpveML0ZiIYl9v2pvB,Consolation,Urban Zakapa,코미디/힐링,https://open.spotify.com/track/5uxGfpveML0ZiIYl9v2pvB,https://i.scdn.co/image/ab67616d0000b27332b1fb13b90958036700246f
